T100B1,T100B10,T100B100,Omniscient,Random
0.704001341,0.703951494,0.702937837,0.703895766,0.697841036
0.704173881,0.704080502,0.703071644,0.70405726,0.697844872
0.704317623,0.704232553,0.703205132,0.704200024,0.697871283
0.704459905,0.704372282,0.703343418,0.704363763,0.697890653
0.704623486,0.704495849,0.703477863,0.704517568,0.697915463
0.704761296,0.704645662,0.703621273,0.704666104,0.697929378
0.7049292,0.704783957,0.703730599,0.704828876,0.697944745
0.70506941,0.704924818,0.703838955,0.704989567,0.697964745
0.705223547,0.70506151,0.703999002,0.705162585,0.697992753
0.705368229,0.705204444,0.704151844,0.705323912,0.698033401
0.705538356,0.705345774,0.704298781,0.705489893,0.698081251
0.705675521,0.705491744,0.70443211,0.705643545,0.698080619
0.705833808,0.705645572,0.704569432,0.705778626,0.698081262
0.705991301,0.705754891,0.704677959,0.705915638,0.698116475
0.706156475,0.705880702,0.704816405,0.706079695,0.698171058
0.706328844,0.706012593,0.704925889,0.70622966,0.698180014
0.706472567,0.706166406,0.705040325,0.706381069,0.698197457
0.706614698,0.706319089,0.70511908,0.706529761,0.698243392
0.706757614,0.706466964,0.705235273,0.70668132,0.698256195
0.706921031,0.70661741,0.705359628,0.706824084,0.698312213
0.707077564,0.706777451,0.705471345,0.70695901,0.698324061
0.707235048,0.706919253,0.705619226,0.707093292,0.698353664
0.707377175,0.707068572,0.705712217,0.707241502,0.69837638
0.70755947,0.707215337,0.705844411,0.707382503,0.698401671
0.707698402,0.7073621,0.705946367,0.707517909,0.698438168
0.707846444,0.707517829,0.706091209,0.707646589,0.698453698
0.708017055,0.707665248,0.706207568,0.707766788,0.698468912
0.708144454,0.707780337,0.706336086,0.70790971,0.698469243
0.708298578,0.707909345,0.706431962,0.708067677,0.698503488
0.708455262,0.708049405,0.706530884,0.708212681,0.698512134
0.708592747,0.708194256,0.706649799,0.708353842,0.698527024
0.70873487,0.708314623,0.706788235,0.7084886,0.698552944
0.708891235,0.708442988,0.706923794,0.708618398,0.698586071
0.709037358,0.708566876,0.707039189,0.708771557,0.698586883
0.709149083,0.708702118,0.707173639,0.708928078,0.698626565
0.709305463,0.708839132,0.707272231,0.70905723,0.698646897
0.709420538,0.708971331,0.707400754,0.70919152,0.698674909
0.70957867,0.709099055,0.707502707,0.709328364,0.698696034
0.709679673,0.709207571,0.707599222,0.709480247,0.698729804
0.709856843,0.709345376,0.707714139,0.709642538,0.69876101
0.710033683,0.709500779,0.707818497,0.709776503,0.698790463
0.71018557,0.709638426,0.707933734,0.709898138,0.698808546
0.710343548,0.709752867,0.708027364,0.710044908,0.698832869
0.710527599,0.709890355,0.708130445,0.710182392,0.698864553
0.710689566,0.71003904,0.70824072,0.710329152,0.698874635
0.710828003,0.710175399,0.708349559,0.710459758,0.698891924
0.710988524,0.710344722,0.708490714,0.71060028,0.698883611
0.711139282,0.710515164,0.708625787,0.710712474,0.698910651
0.711287644,0.710674891,0.708750622,0.710857958,0.698934979
0.711441768,0.710855096,0.708866333,0.710992077,0.698954347
0.711584851,0.711009533,0.708989568,0.711133554,0.698996113
0.711748888,0.711177255,0.70912273,0.711268477,0.699042199
0.711926688,0.711351854,0.709274601,0.711405804,0.699059811
0.712082573,0.711521179,0.709406954,0.711551444,0.699080463
0.712219572,0.711671137,0.70955147,0.711689086,0.699116313
0.712373853,0.711820139,0.709699823,0.711840164,0.699147047
0.712532298,0.71197362,0.709839859,0.712010288,0.699175215
0.712681943,0.712136546,0.709967098,0.712126491,0.699204021
0.712824861,0.712290667,0.710090653,0.712264127,0.699215551
0.712999145,0.712444464,0.710227009,0.712375526,0.699232194
0.713138705,0.712607544,0.710387196,0.712517325,0.699235082
0.71330355,0.712747736,0.710513952,0.712642155,0.699277815
0.713461672,0.712900575,0.710648378,0.712768592,0.699302941
0.71361292,0.713053734,0.710775289,0.712893428,0.699361831
0.713767032,0.713227537,0.710902674,0.713029301,0.699358634
0.713894753,0.713387092,0.71106767,0.713153333,0.699401847
0.714043593,0.713567615,0.711288206,0.713279937,0.699443778
0.714193713,0.713761101,0.711481211,0.713430538,0.699448265
0.714355355,0.713948979,0.711659491,0.713559851,0.69947339
0.714516031,0.714146624,0.711840972,0.713719569,0.699488591
0.714659108,0.71431834,0.712022614,0.713856406,0.699542682
0.714829075,0.714494217,0.712213219,0.714031005,0.699578051
0.714969584,0.714692175,0.712402539,0.714174717,0.699576774
0.715125628,0.714872532,0.712579213,0.71430852,0.699614384
0.715263749,0.715058009,0.712756845,0.714466476,0.699642705
0.715430036,0.715232451,0.712925999,0.714611632,0.699656798
0.715587195,0.715358571,0.713067796,0.714760312,0.699689127
0.715721627,0.715489642,0.713256956,0.714908035,0.699693292
0.71588454,0.71563288,0.713443395,0.715054474,0.699722746
0.716041213,0.715790998,0.713618473,0.715209708,0.69975076
0.71619085,0.715936153,0.713786031,0.71535503,0.699778122
0.716372169,0.716082752,0.713955984,0.715526743,0.699814128
0.716493164,0.716240391,0.714150906,0.715653333,0.699860868
0.716644724,0.716401387,0.714331581,0.715776567,0.699872711
0.716796114,0.716541096,0.714499612,0.715914041,0.699911606
0.716957914,0.716679525,0.71467964,0.716049109,0.699949541
0.717137957,0.716850606,0.714876153,0.716207387,0.699984911
0.717290626,0.717018164,0.715065153,0.71637366,0.700028602
0.717447623,0.717185401,0.715245026,0.716494649,0.70005165
0.717613419,0.717359841,0.715425856,0.716674362,0.700095022
0.717783692,0.717528037,0.715630372,0.716864799,0.700107504
0.717940362,0.717676226,0.715822884,0.717021,0.700120468
0.718104722,0.717854665,0.716015557,0.717179423,0.70013023
0.718213077,0.718021897,0.716193031,0.717349538,0.700154231
0.718377112,0.718191211,0.716363459,0.717486852,0.700177278
0.718536347,0.718335407,0.716508446,0.717699204,0.70021168
0.718702778,0.718461201,0.716633596,0.717849153,0.700223687
0.718866488,0.718602993,0.716798108,0.718029984,0.700250093
0.719029405,0.718747668,0.716953657,0.718162971,0.700264818
0.719174078,0.718896821,0.717113845,0.718316603,0.700308671
0.719309302,0.719026446,0.717264433,0.718522074,0.700320837
0.719477497,0.719182158,0.717430223,0.718735065,0.70036261
0.719633845,0.719345392,0.717590892,0.71899029,0.700388693
0.719784916,0.719520786,0.71776116,0.719190483,0.700417818
0.719948623,0.719645773,0.717904065,0.719404915,0.700464703
0.720113133,0.719827877,0.718109219,0.719637105,0.700487266
0.72029462,0.720028874,0.718305087,0.719842741,0.700529362
0.720475611,0.720236746,0.718513598,0.720082294,0.700538801
0.720657725,0.720443503,0.718712829,0.720270482,0.700539126
0.720806874,0.720647219,0.718909817,0.720486034,0.700571292
0.720947862,0.720867889,0.71913561,0.720717112,0.700577535
0.721118933,0.721088723,0.719338195,0.720916336,0.700589057
0.721290648,0.721305875,0.719530383,0.721128523,0.700617541
0.721436598,0.721530228,0.719740335,0.721351597,0.700606666
0.72157679,0.72173458,0.719943883,0.721562826,0.70063772
0.721738587,0.721936532,0.720117827,0.721760933,0.700667964
0.721892535,0.722155449,0.720326497,0.721963847,0.700696621
0.722058003,0.722334514,0.720499162,0.722149797,0.700725581
0.722192116,0.722520141,0.720680951,0.722367104,0.700741102
0.722335345,0.722702409,0.72086258,0.722554493,0.700767836
0.722481609,0.722875233,0.721038604,0.722760764,0.700796652
0.72261956,0.723060378,0.721223752,0.722947511,0.700822576
0.722771907,0.723223287,0.72138506,0.723140662,0.70084866
0.722913858,0.723388112,0.721553249,0.72332165,0.700917945
0.723038839,0.723550862,0.72170112,0.723504242,0.700968046
0.723189906,0.723672488,0.721832667,0.723685063,0.700972851
0.723340333,0.72378884,0.721940692,0.723850691,0.700995893
0.723479884,0.7238671,0.722042961,0.723992952,0.701030456
0.723643111,0.723981534,0.722141234,0.724214108,0.701037661
0.723789062,0.724103488,0.72226078,0.724371735,0.701070954
0.723893895,0.724229435,0.722396639,0.724521366,0.701080233
0.724036969,0.724346262,0.722506742,0.724646346,0.701117203
0.724181634,0.724458452,0.722615244,0.724827495,0.701112085
0.724311908,0.724580561,0.722752071,0.724970884,0.701167936
0.724448575,0.724692113,0.722866978,0.725130268,0.701158178
0.724595644,0.724773897,0.722971644,0.725311897,0.701157859
0.72471023,0.724855048,0.723030228,0.725408884,0.701172909
0.72485186,0.724934109,0.723109455,0.725511628,0.701223802
0.724959726,0.725055419,0.72321524,0.725636772,0.701237722
0.725065351,0.725172885,0.723319267,0.725742721,0.701263337
0.725190816,0.725283637,0.723410492,0.725830108,0.701309426
0.725310364,0.725404464,0.723512116,0.725940845,0.701330064
0.72545199,0.725512969,0.723595342,0.726057513,0.701344466
0.725559693,0.725649475,0.723689442,0.726172418,0.701400319
0.725700843,0.725762463,0.723772667,0.726269563,0.70142673
0.725821034,0.725886807,0.723894451,0.726398232,0.701432975
0.725944738,0.725947154,0.723948396,0.726497456,0.701445625
0.72608332,0.726010859,0.724012583,0.72661828,0.701469795
0.726215834,0.726082569,0.724092609,0.726713505,0.701494442
0.726366582,0.726158276,0.724150392,0.726816096,0.701505165
0.72649429,0.726236702,0.72421617,0.726962204,0.70153893
0.726636552,0.726298331,0.724277312,0.72705055,0.701557171
0.726736738,0.726380116,0.724334134,0.727153939,0.70156677
0.726834366,0.72644366,0.724408398,0.727237163,0.701604053
0.726978719,0.726525128,0.724487464,0.72732071,0.701619903
0.727088349,0.726606754,0.724567806,0.72741369,0.701655748
0.727187414,0.726702465,0.724652783,0.727492757,0.701691756
0.727295918,0.726796253,0.724746244,0.727576298,0.701714801
0.727415463,0.726880115,0.724843703,0.727687847,0.701743128
0.727551176,0.72697486,0.724946927,0.727759867,0.701751134
0.727647524,0.7270512,0.725040867,0.727846292,0.701787142
0.727776182,0.72714131,0.725129049,0.727954151,0.701795797
0.72789989,0.727211733,0.725235484,0.728045374,0.701815162
0.72800823,0.727301039,0.725322385,0.7281334,0.70183036
0.728115612,0.727391787,0.725403847,0.728202219,0.701855969
0.728230036,0.727473728,0.725501473,0.728309765,0.701908944
0.728277736,0.727575197,0.725610624,0.728374265,0.701944149
0.728369762,0.727674422,0.725737228,0.728465331,0.702000476
0.728475386,0.727774929,0.725824292,0.728544231,0.702044006
0.728567574,0.727873349,0.725913429,0.728620893,0.702088181
0.728645998,0.72798314,0.726016659,0.728688754,0.702113625
0.728726503,0.728066365,0.726109004,0.728757093,0.702149798
0.728804607,0.728160789,0.726210791,0.728842876,0.702160365
0.728895511,0.728249772,0.72631562,0.728892813,0.702180688
0.729003056,0.728343236,0.726421567,0.728969153,0.70219925
