T10B1,T100B1,T1000B1,Omniscient,Random
0.696778288,0.696778288,0.696778288,0.696778288,0.696778288
0.696960111,0.697053589,0.697072796,0.697077906,0.696832384
0.697171535,0.697289194,0.697373221,0.697360561,0.696852871
0.697360085,0.697558566,0.697675245,0.69764818,0.696878961
0.697567199,0.697826983,0.69792942,0.697927159,0.69690425
0.697777819,0.698083067,0.698171433,0.698162277,0.696911444
0.697983015,0.698324593,0.698419361,0.698416449,0.69694842
0.698156848,0.698551721,0.698674658,0.698629967,0.696971631
0.698302836,0.698817255,0.698899382,0.698867972,0.696995963
0.698490576,0.699033661,0.699129227,0.699081331,0.69702125
0.698668719,0.699274537,0.699345791,0.699302686,0.69702638
0.698848788,0.699474614,0.699565388,0.699511402,0.697072149
0.698999394,0.69968045,0.699804026,0.699729082,0.697098397
0.699170327,0.699894121,0.700008098,0.699924347,0.69713793
0.699296936,0.700107807,0.700231374,0.700118811,0.697170426
0.699475232,0.700298752,0.700447136,0.700312795,0.697181952
0.699636407,0.700513386,0.700663693,0.7004983,0.697221165
0.699797101,0.700694894,0.700865681,0.700716136,0.697221801
0.699955074,0.700882968,0.701045584,0.700892359,0.697235094
0.700102647,0.701061922,0.701244536,0.701080269,0.697246294
0.700236145,0.701227905,0.701434362,0.70124929,0.697304702
0.700394451,0.701430537,0.701655397,0.701435114,0.697333988
0.700522498,0.701625645,0.70184234,0.701603338,0.697371113
0.700650398,0.701819951,0.702026564,0.701792039,0.697414657
0.700817171,0.702019221,0.702205509,0.701954977,0.697439788
0.700940568,0.702209206,0.702409579,0.702147834,0.697470205
0.701084617,0.702401753,0.702599407,0.702325183,0.697516458
0.701265482,0.702591417,0.702761388,0.702508761,0.697530057
0.70139608,0.702779321,0.70296978,0.702673611,0.69755823
0.701512926,0.702961456,0.703138799,0.702860223,0.69759696
0.701657462,0.703147286,0.703329106,0.703049082,0.697652815
0.701790802,0.703352799,0.703497161,0.703215372,0.697675379
0.701883165,0.703512842,0.703636097,0.703385189,0.697723875
0.701992645,0.703675621,0.703827197,0.703561245,0.697785169
0.7021311,0.703835688,0.703998618,0.703739068,0.697828707
0.702237717,0.704001341,0.704169549,0.703895766,0.697841036
0.702346698,0.704173881,0.704340487,0.70405726,0.697844872
0.702459215,0.704317623,0.704502142,0.704200024,0.697871283
0.70257781,0.704459905,0.704685244,0.704363763,0.697890653
0.702702982,0.704623486,0.704845612,0.704517568,0.697915463
0.70284638,0.704761296,0.705010787,0.704666104,0.697929378
0.702933943,0.7049292,0.705166838,0.704828876,0.697944745
0.703081037,0.70506941,0.705331526,0.704989567,0.697964745
0.703201415,0.705223547,0.705495582,0.705162585,0.697992753
0.70332753,0.705368229,0.705670196,0.705323912,0.698033401
0.703452061,0.705538356,0.705830888,0.705489893,0.698081251
0.703593716,0.705675521,0.705980381,0.705643545,0.698080619
0.703716635,0.705833808,0.706130514,0.705778626,0.698081262
