T1000B1,T1000B10,T1000B100,Omniscient,Random
0.696778288,0.696778288,0.696778288,0.696778288,0.696778288
0.697072796,0.697070237,0.697077437,0.697077906,0.696832384
0.697373221,0.697373861,0.6973697,0.697360561,0.696852871
0.697675245,0.697674766,0.697662925,0.69764818,0.696878961
0.69792942,0.697946863,0.697938224,0.697927159,0.69690425
0.698171433,0.698192081,0.698186154,0.698162277,0.696911444
0.698419361,0.698442412,0.698411997,0.698416449,0.69694842
0.698674658,0.698684105,0.69866025,0.698629967,0.696971631
0.698899382,0.69893571,0.698899212,0.698867972,0.696995963
0.699129227,0.699182999,0.699146984,0.699081331,0.69702125
0.699345791,0.699392996,0.699348664,0.699302686,0.69702638
0.699565388,0.699605552,0.699560422,0.699511402,0.697072149
0.699804026,0.699842596,0.699775544,0.699729082,0.697098397
0.700008098,0.700037065,0.699970981,0.699924347,0.69713793
0.700231374,0.700266424,0.700184012,0.700118811,0.697170426
0.700447136,0.700500103,0.70038473,0.700312795,0.697181952
0.700663693,0.700691702,0.70059969,0.7004983,0.697221165
0.700865681,0.700904094,0.700806641,0.700716136,0.697221801
0.701045584,0.701089278,0.700990234,0.700892359,0.697235094
0.701244536,0.701267099,0.701153172,0.701080269,0.697246294
0.701434362,0.701463167,0.701358836,0.70124929,0.697304702
0.701655397,0.701670118,0.701544818,0.701435114,0.697333988
0.70184234,0.701862351,0.701740247,0.701603338,0.697371113
0.702026564,0.702056021,0.7019312,0.701792039,0.697414657
0.702205509,0.70225273,0.702129828,0.701954977,0.697439788
0.702409579,0.70245377,0.702316777,0.702147834,0.697470205
0.702599407,0.702630473,0.702510607,0.702325183,0.697516458
0.702761388,0.70280957,0.702696911,0.702508761,0.697530057
0.70296978,0.702982909,0.702860487,0.702673611,0.69755823
0.703138799,0.703158327,0.703042463,0.702860223,0.69759696
0.703329106,0.703343835,0.703228924,0.703049082,0.697652815
0.703497161,0.703505331,0.703407852,0.703215372,0.697675379
0.703636097,0.703690192,0.703597516,0.703385189,0.697723875
0.703827197,0.703880823,0.703757733,0.703561245,0.697785169
0.703998618,0.704055436,0.703922592,0.703739068,0.697828707
0.704169549,0.704222051,0.704086483,0.703895766,0.697841036
0.704340487,0.704381142,0.704251335,0.70405726,0.697844872
0.704502142,0.704549193,0.704416191,0.704200024,0.697871283
0.704685244,0.704714211,0.704571124,0.704363763,0.697890653
0.704845612,0.704884985,0.704723333,0.704517568,0.697915463
0.705010787,0.705028719,0.70489091,0.704666104,0.697929378
0.705166838,0.705185892,0.705053368,0.704828876,0.697944745
0.705331526,0.705340187,0.705211982,0.704989567,0.697964745
0.705495582,0.705490165,0.705379396,0.705162585,0.697992753
0.705670196,0.7056475,0.705545364,0.705323912,0.698033401
0.705830888,0.705808671,0.705678688,0.705489893,0.698081251
0.705980381,0.705973044,0.705827387,0.705643545,0.698080619
0.706130514,0.706146381,0.705976238,0.705778626,0.698081262
0.706285126,0.706301476,0.706149572,0.705915638,0.698116475
0.706435255,0.706442801,0.70630387,0.706079695,0.698171058
0.70659083,0.706605896,0.706437999,0.70622966,0.698180014
0.706742885,0.706754909,0.706595809,0.706381069,0.698197457
0.706874625,0.706909525,0.706749146,0.706529761,0.698243392
0.707035151,0.707047652,0.706913676,0.70668132,0.698256195
0.707178229,0.707213627,0.707042839,0.706824084,0.698312213
0.707342119,0.707364873,0.707184962,0.70695901,0.698324061
0.707499291,0.707504278,0.707348215,0.707093292,0.698353664
0.707651179,0.707646249,0.707497065,0.707241502,0.69837638
0.707801137,0.707809815,0.707638392,0.707382503,0.698401671
0.707934947,0.707957702,0.70777796,0.707517909,0.698438168
0.708066991,0.708101749,0.707938013,0.707646589,0.698453698
0.708197916,0.708243221,0.708071655,0.707766788,0.698468912
0.708358126,0.708406952,0.708209298,0.70790971,0.698469243
0.708502496,0.708544907,0.708361507,0.708067677,0.698503488
0.708658386,0.708717269,0.708514027,0.708212681,0.698512134
0.708819396,0.70886547,0.708657919,0.708353842,0.698527024
0.708960399,0.709027429,0.708799884,0.7084886,0.698552944
0.709134222,0.709172916,0.708974017,0.708618398,0.698586071
0.709288826,0.709340477,0.709134703,0.708771557,0.698586883
0.709452553,0.70948532,0.709276666,0.708928078,0.698626565
0.709595631,0.709624237,0.709413347,0.70905723,0.698646897
0.70974911,0.709776602,0.709564755,0.70919152,0.698674909
0.709912042,0.709959697,0.709732317,0.709328364,0.698696034
0.710062489,0.710117664,0.709877961,0.709480247,0.698729804
0.710214856,0.71027227,0.710026003,0.709642538,0.69876101
0.71036386,0.710431521,0.710138201,0.709776503,0.698790463
0.71052055,0.710591888,0.710283531,0.709898138,0.698808546
0.710673393,0.710738171,0.710425497,0.710044908,0.698832869
0.710833275,0.710917581,0.710576265,0.710182392,0.698864553
0.710984994,0.711080193,0.710729755,0.710329152,0.698874635
0.711138482,0.711269837,0.710881956,0.710459758,0.698891924
0.711291808,0.711394523,0.711028716,0.71060028,0.698883611
0.711475052,0.711536172,0.711179803,0.710712474,0.698910651
0.711631094,0.711676697,0.711331368,0.710857958,0.698934979
0.711777378,0.711798496,0.711456686,0.710992077,0.698954347
0.711941906,0.711930379,0.711585842,0.711133554,0.698996113
0.712100026,0.712067378,0.71173212,0.711268477,0.699042199
0.712257667,0.712218302,0.711892957,0.711405804,0.699059811
0.712423465,0.712369386,0.712047552,0.711551444,0.699080463
0.712568627,0.712509903,0.712137839,0.711689086,0.699116313
0.712694104,0.712648014,0.712275956,0.711840164,0.699147047
0.712835108,0.712813177,0.712411354,0.712010288,0.699175215
0.71299787,0.712964576,0.712543387,0.712126491,0.699204021
0.713134393,0.713122693,0.71269591,0.712264127,0.699215551
0.713276835,0.713271049,0.712845393,0.712375526,0.699232194
0.713441196,0.713418125,0.712988632,0.712517325,0.699235082
0.713596431,0.713582172,0.713129154,0.712642155,0.699277815
0.713755826,0.713720283,0.713281829,0.712768592,0.699302941
0.713916512,0.7138576,0.71341435,0.712893428,0.699361831
0.714049351,0.714014281,0.713559832,0.713029301,0.699358634
0.714187296,0.714173843,0.713704829,0.713153333,0.699401847
0.714360778,0.714329876,0.71390103,0.713279937,0.699443778
0.714523856,0.714512308,0.714089232,0.713430538,0.699448265
0.714701815,0.71468322,0.71425471,0.713559851,0.69947339
0.714874975,0.714846936,0.714436349,0.713719569,0.699488591
0.715034691,0.715031938,0.71460006,0.713856406,0.699542682
0.715202896,0.715209258,0.71477002,0.714031005,0.699578051
0.715376215,0.715385137,0.714927011,0.714174717,0.699576774
0.715514489,0.715546456,0.715091527,0.71430852,0.699614384
0.715672447,0.715712575,0.715269962,0.714466476,0.699642705
0.71581728,0.715868607,0.71545816,0.714611632,0.699656798
0.715956026,0.716012967,0.715630836,0.714760312,0.699689127
0.7161103,0.716161961,0.715805272,0.714908035,0.699693292
0.71628602,0.716311599,0.715970905,0.715054474,0.699722746
0.716422216,0.71644523,0.716149182,0.715209708,0.69975076
0.716597295,0.716598386,0.716296563,0.71535503,0.699778122
0.716782783,0.7167549,0.716457874,0.715526743,0.699814128
0.716921849,0.716914939,0.716635512,0.715653333,0.699860868
0.717097082,0.717064734,0.716820508,0.715776567,0.699872711
