T10B1,T10B10,T10B100,Omniscient,Random
0.696778288,0.696778288,0.696778288,0.696778288,0.696778288
0.696960111,0.697017716,0.697010832,0.697077906,0.696832384
0.697171535,0.697249789,0.697215051,0.697360561,0.696852871
0.697360085,0.697475942,0.697451282,0.69764818,0.696878961
0.697567199,0.697717454,0.697648456,0.697927159,0.69690425
0.697777819,0.697924394,0.697841307,0.698162277,0.696911444
0.697983015,0.698131655,0.698030633,0.698416449,0.69694842
0.698156848,0.69832659,0.698222848,0.698629967,0.696971631
0.698302836,0.69852841,0.698421469,0.698867972,0.696995963
0.698490576,0.698712938,0.698603762,0.699081331,0.69702125
0.698668719,0.698887712,0.698764137,0.699302686,0.69702638
0.698848788,0.699062022,0.698951551,0.699511402,0.697072149
0.698999394,0.699221127,0.699128249,0.699729082,0.697098397
0.699170327,0.699401512,0.699299028,0.699924347,0.69713793
0.699296936,0.69956621,0.69945123,0.700118811,0.697170426
0.699475232,0.699705467,0.699606633,0.700312795,0.697181952
0.699636407,0.699857199,0.69975179,0.7004983,0.697221165
0.699797101,0.700017575,0.699923526,0.700716136,0.697221801
0.699955074,0.700155216,0.700071882,0.700892359,0.697235094
0.700102647,0.700282781,0.700225037,0.701080269,0.697246294
0.700236145,0.700423477,0.700368601,0.70124929,0.697304702
0.700394451,0.700541123,0.70053857,0.701435114,0.697333988
0.700522498,0.700660685,0.700677968,0.701603338,0.697371113
0.700650398,0.700770966,0.700838484,0.701792039,0.697414657
0.700817171,0.700883639,0.700981883,0.701954977,0.697439788
0.700940568,0.701021443,0.701138255,0.702147834,0.697470205
0.701084617,0.701117163,0.70127222,0.702325183,0.697516458
0.701265482,0.70121047,0.70141178,0.702508761,0.697530057
0.70139608,0.701346038,0.701565588,0.702673611,0.69755823
0.701512926,0.70143775,0.70173236,0.702860223,0.69759696
0.701657462,0.701548344,0.701874961,0.703049082,0.697652815
0.701790802,0.701696393,0.702044772,0.703215372,0.697675379
0.701883165,0.701864288,0.702182247,0.703385189,0.697723875
0.701992645,0.701997926,0.70233237,0.703561245,0.697785169
0.7021311,0.702119403,0.702478174,0.703739068,0.697828707
0.702237717,0.702266489,0.702622859,0.703895766,0.697841036
0.702346698,0.702403015,0.702779381,0.70405726,0.697844872
0.702459215,0.702527855,0.702906936,0.704200024,0.697871283
0.70257781,0.702664371,0.703038168,0.704363763,0.697890653
0.702702982,0.702794808,0.70318157,0.704517568,0.697915463
0.70284638,0.702931648,0.703334574,0.704666104,0.697929378
0.702933943,0.703100038,0.703481179,0.704828876,0.697944745
0.703081037,0.703239769,0.703610652,0.704989567,0.697964745
0.703201415,0.703411664,0.703751016,0.705162585,0.697992753
0.70332753,0.703588679,0.703890263,0.705323912,0.698033401
0.703452061,0.703758496,0.704035429,0.705489893,0.698081251
0.703593716,0.703914552,0.7041641,0.705643545,0.698080619
0.703716635,0.704063723,0.7042987,0.705778626,0.698081262
0.703863554,0.704216737,0.704419055,0.705915638,0.698116475
0.703964717,0.704359501,0.704529008,0.706079695,0.698171058
0.704087474,0.704491231,0.704644563,0.70622966,0.698180014
0.704219667,0.704624868,0.704785244,0.706381069,0.698197457
0.704342582,0.704762181,0.704913601,0.706529761,0.698243392
0.704477343,0.704893257,0.705036678,0.70668132,0.698256195
0.704592257,0.705025931,0.705162636,0.706824084,0.698312213
0.704731186,0.705136032,0.705262342,0.70695901,0.698324061
0.704871869,0.705243256,0.705415992,0.707093292,0.698353664
0.704965823,0.705365205,0.705524341,0.707241502,0.69837638
0.7050833,0.705483956,0.70563973,0.707382503,0.698401671
0.705209901,0.705612468,0.705774005,0.707517909,0.698438168
0.705339058,0.705737618,0.705908444,0.707646589,0.698453698
0.705441502,0.705856854,0.706025597,0.707766788,0.698468912
0.705544105,0.705969847,0.706143872,0.70790971,0.698469243
0.705684304,0.706083644,0.70625878,0.708067677,0.698503488
0.705831711,0.706217278,0.706367614,0.708212681,0.698512134
0.705930627,0.706346435,0.706479807,0.708353842,0.698527024
0.706077875,0.706460064,0.706604956,0.7084886,0.698552944
0.706161102,0.70658811,0.706711869,0.708618398,0.698586071
0.706264014,0.7066987,0.706826304,0.708771557,0.698586883
0.706405013,0.706815694,0.706946345,0.708928078,0.698626565
0.70653977,0.706944849,0.707064131,0.70905723,0.698646897
0.706658369,0.707119299,0.707186404,0.70919152,0.698674909
