Ours,Omniscient,Random
0.734674825,0.733818255,0.704083153
0.73472764,0.733888515,0.704111004
0.734803342,0.733932692,0.704151494
0.734874403,0.733995589,0.70419294
0.734944661,0.734033364,0.704230391
0.735001317,0.734098181,0.704244485
0.735054451,0.734149559,0.70428146
0.735108549,0.734210536,0.704304997
0.735159764,0.734261118,0.704351891
0.735208738,0.734309935,0.704362139
0.735291163,0.734372511,0.704395268
0.735367659,0.734421648,0.704412556
0.735424315,0.734489345,0.704424722
0.735507057,0.73454552,0.704449368
0.735566432,0.734595617,0.704494027
0.735615573,0.734657875,0.704492751
0.735691592,0.734701732,0.704517715
0.735755608,0.734763029,0.704568446
0.735825066,0.734816968,0.704570846
0.735882362,0.734878744,0.704592929
0.735961904,0.734922116,0.704618225
0.736030404,0.734985335,0.70466319
0.736069301,0.73504503,0.704671671
0.736121317,0.735114173,0.70471232
0.736203897,0.73516907,0.70470688
0.736272238,0.735209079,0.70469633
0.736333217,0.735267983,0.704732974
0.736383318,0.735325601,0.704765302
0.736447814,0.735375058,0.704785785
0.736502388,0.73544052,0.704851402
0.736554565,0.735496214,0.704879256
0.736607543,0.735550788,0.70490231
0.736690121,0.735607288,0.704917832
0.73675558,0.735642657,0.704937843
0.736809356,0.735701075,0.70495673
0.736864413,0.735759331,0.704986657
0.736917384,0.735806389,0.705021069
0.73696572,0.735868648,0.70504748
0.73703694,0.735912821,0.705080452
0.737083513,0.735946911,0.705108309
0.73713681,0.736008372,0.705118071
0.737190427,0.736064866,0.705153281
0.737237004,0.736116244,0.705169294
0.737294136,0.736161057,0.705175707
0.737359755,0.736214512,0.705202431
0.737421852,0.736262849,0.705238439
0.737486192,0.736309745,0.705249319
0.737548127,0.73637472,0.705287246
0.737602701,0.736414895,0.705324055
0.73766128,0.73646227,0.705358304
0.737714735,0.73651797,0.705385514
0.73775939,0.736564386,0.705400251
0.737816525,0.736602954,0.705439456
0.737871578,0.73665033,0.705457868
0.737942957,0.736698827,0.705501238
0.738002656,0.736737555,0.705514046
0.73806731,0.736777728,0.705527022
0.738129886,0.736831983,0.705550227
0.73818798,0.736875356,0.705612477
0.738237597,0.736929131,0.705668815
0.738307056,0.736987392,0.705699868
0.738352829,0.737046927,0.705712826
0.738398927,0.737096222,0.705772682
0.738470302,0.737153838,0.705759719
0.738520396,0.737197373,0.705798444
0.738580571,0.737245389,0.705815409
0.738626508,0.737300766,0.705869334
0.738686203,0.73734926,0.705870786
0.738743981,0.737396951,0.705886477
0.738802716,0.737440644,0.705894164
0.738844171,0.737486896,0.70595386
0.738915383,0.73752915,0.705969706
0.73896692,0.737584524,0.705980276
0.739016374,0.737628861,0.706027485
0.73906935,0.737675597,0.706040286
0.739120408,0.737716244,0.706066529
0.739176266,0.737767301,0.706108775
0.73922444,0.737802514,0.70612142
0.739284616,0.737837564,0.70615231
0.739330233,0.737881576,0.706188958
0.739377127,0.737932793,0.706205927
0.739433623,0.737984808,0.706211695
0.739487718,0.738024981,0.706243706
0.739545652,0.738067712,0.70628467
0.73960407,0.738116365,0.706295394
0.73964808,0.738162615,0.706310591
0.739712096,0.738200704,0.706334284
0.739766348,0.738249999,0.70636997
0.739811162,0.738295771,0.706413022
0.739867021,0.738336263,0.706433669
0.739908632,0.738390356,0.706464076
0.739964164,0.738443651,0.706469203
0.740017778,0.738491348,0.706501525
0.740078273,0.738529597,0.70652377
0.740122929,0.738573448,0.706578345
0.740177026,0.738620021,0.706580107
0.740234163,0.738669796,0.7066286
0.740280739,0.738715408,0.706669569
0.740336754,0.738752539,0.706685887
0.740385566,0.738801678,0.70672318
0.740427979,0.73885017,0.706747027
0.740485913,0.738889549,0.706778076
0.740542727,0.738935481,0.706802721
0.740592819,0.738985733,0.70680976
0.740629154,0.739026386,0.706841442
0.740687569,0.739068001,0.70686849
0.740719579,0.739101929,0.706894255
0.740760551,0.739144979,0.706914262
0.740791282,0.739188672,0.706986603
0.740839616,0.739218284,0.707024373
0.740894032,0.7392663,0.707034772
0.740929563,0.73930103,0.707069183
0.74098878,0.739344885,0.707057027
0.741040953,0.739380575,0.707076875
0.741090885,0.739418188,0.707139296
0.741140178,0.739457077,0.707158019
0.741193791,0.739497409,0.707192114
0.741248047,0.739550383,0.707199482
0.741291738,0.739577911,0.70723053
0.741330629,0.73962192,0.70723054
0.74138088,0.739648167,0.707241747
0.741422491,0.7396853,0.707251341
0.741485226,0.739727391,0.707249751
0.741545398,0.739768847,0.707283681
0.741583488,0.739810783,0.70729985
0.741628458,0.739858636,0.707326102
0.74167119,0.739895127,0.707345312
0.741711841,0.739938496,0.707383407
0.741763695,0.739970825,0.707415098
0.741816668,0.740014356,0.707436381
0.741872842,0.740043485,0.707441977
0.741917974,0.740079658,0.707467269
0.741975272,0.740128634,0.707525682
0.742012724,0.740172325,0.707542972
0.742058496,0.740210894,0.707563297
0.742108429,0.740254909,0.707566979
0.742149081,0.740291881,0.707604739
0.742201574,0.740333974,0.707624425
0.742257109,0.740369344,0.70765835
0.742306883,0.740411918,0.707693234
0.742342573,0.740454807,0.707668435
0.742388985,0.740487777,0.70769612
0.742429478,0.74053067,0.707720923
0.742471568,0.740571481,0.707745085
0.742517982,0.740601411,0.707775971
0.742567112,0.74064078,0.707795336
0.742613684,0.740680308,0.707830217
0.742653217,0.740711036,0.7078331
0.742706506,0.740756485,0.707834866
0.742745555,0.740786094,0.707854075
0.742801888,0.740822582,0.707889449
0.742851661,0.74086131,0.707927216
0.742898875,0.740911086,0.70796979
0.742942568,0.740944379,0.708002436
0.742981778,0.74098791,0.708037156
0.743026267,0.741013356,0.708041791
0.743080679,0.741048888,0.708089327
0.74313093,0.741086655,0.708109813
0.743171581,0.741121542,0.708158308
0.743219116,0.741149552,0.708172077
0.743266328,0.741183801,0.708191277
0.743311459,0.741222207,0.70822553
0.743351787,0.741254218,0.708252419
0.743405082,0.741279185,0.708274664
0.743443652,0.741315997,0.708298346
0.743476623,0.741345766,0.708331319
0.743513433,0.741382578,0.708358043
0.743562884,0.741422271,0.708368449
0.743595856,0.741457164,0.708396612
0.743641627,0.741495096,0.708427347
0.743690597,0.741525343,0.708460152
0.743728046,0.74155895,0.708484962
0.743767098,0.741595283,0.708494084
0.74381079,0.741634173,0.708525934
0.743850634,0.74166618,0.708591389
0.743896245,0.741703471,0.708639392
0.7439361,0.741740922,0.708652031
0.743972269,0.741774854,0.708697961
0.744012117,0.741824786,0.708717481
0.744047966,0.741859359,0.70873813
0.744094377,0.741888645,0.708781012
0.744132626,0.741925456,0.708775099
0.74418384,0.741960504,0.708818951
0.744220331,0.741992514,0.708874962
0.744261465,0.742030444,0.70887705
0.744305157,0.742058609,0.708890973
0.744339723,0.742093822,0.708902179
0.744390296,0.74212583,0.708951941
0.744430147,0.742155116,0.708994029
0.744474318,0.742190327,0.709030836
0.744526492,0.742223461,0.709035965
0.744564904,0.742248105,0.709051168
0.744595474,0.742290353,0.709092136
0.744639003,0.742319638,0.709135506
0.74466605,0.742352925,0.709175196
0.744706062,0.742380454,0.709219369
0.744743353,0.742424784,0.709234896
0.744783844,0.742452311,0.70926419
0.744819535,0.742493121,0.709305791
0.744856665,0.742519689,0.709343882
0.744895875,0.742550254,0.709388373
0.744932526,0.742580983,0.709395572
0.744966615,0.742615874,0.70942662
0.744999423,0.742647721,0.709475431
0.745040397,0.742670935,0.709501034
0.745081527,0.742709184,0.709520078
0.7451313,0.742738791,0.709540406
0.745172269,0.742768239,0.709574341
0.745211318,0.742794964,0.709613711
0.745232121,0.742828733,0.709643962
0.74526765,0.7428521,0.709679645
0.745298539,0.742880106,0.709709248
0.74534031,0.742910352,0.709738214
0.745373599,0.74293036,0.709803024
0.74541265,0.742961567,0.709819036
0.74545442,0.74299246,0.709824158
0.745494112,0.743019028,0.709844971
0.745544848,0.743051675,0.709897457
0.745581014,0.743083366,0.709956822
