T10B100,T100B100,T1000B100,Omniscient,Random
0.696778288,0.696778288,0.696778288,0.696778288,0.696778288
0.697010832,0.697024132,0.697077437,0.697077906,0.696832384
0.697215051,0.697279411,0.6973697,0.697360561,0.696852871
0.697451282,0.697530224,0.697662925,0.69764818,0.696878961
0.697648456,0.697757344,0.697938224,0.697927159,0.69690425
0.697841307,0.697955171,0.698186154,0.698162277,0.696911444
0.698030633,0.698172363,0.698411997,0.698416449,0.69694842
0.698222848,0.698375954,0.69866025,0.698629967,0.696971631
0.698421469,0.698590584,0.698899212,0.698867972,0.696995963
0.698603762,0.69879114,0.699146984,0.699081331,0.69702125
0.698764137,0.698959683,0.699348664,0.699302686,0.69702638
0.698951551,0.699146309,0.699560422,0.699511402,0.697072149
0.699128249,0.699364616,0.699775544,0.699729082,0.697098397
0.699299028,0.699543234,0.699970981,0.699924347,0.69713793
0.69945123,0.699733695,0.700184012,0.700118811,0.697170426
0.699606633,0.69992352,0.70038473,0.700312795,0.697181952
0.69975179,0.700101502,0.70059969,0.7004983,0.697221165
0.699923526,0.700261556,0.700806641,0.700716136,0.697221801
0.700071882,0.700416977,0.700990234,0.700892359,0.697235094
0.700225037,0.700579749,0.701153172,0.701080269,0.697246294
0.700368601,0.70073084,0.701358836,0.70124929,0.697304702
0.70053857,0.700866573,0.701544818,0.701435114,0.697333988
0.700677968,0.701033986,0.701740247,0.701603338,0.697371113
0.700838484,0.70119148,0.7019312,0.701792039,0.697414657
0.700981883,0.701350408,0.702129828,0.701954977,0.697439788
0.701138255,0.70154743,0.702316777,0.702147834,0.697470205
0.70127222,0.701717411,0.702510607,0.702325183,0.697516458
0.70141178,0.701865938,0.702696911,0.702508761,0.697530057
0.701565588,0.702004858,0.702860487,0.702673611,0.69755823
0.70173236,0.70215387,0.703042463,0.702860223,0.69759696
0.701874961,0.702283203,0.703228924,0.703049082,0.697652815
0.702044772,0.702441656,0.703407852,0.703215372,0.697675379
0.702182247,0.702545057,0.703597516,0.703385189,0.697723875
0.70233237,0.702679502,0.703757733,0.703561245,0.697785169
0.702478174,0.702805625,0.703922592,0.703739068,0.697828707
0.702622859,0.702937837,0.704086483,0.703895766,0.697841036
0.702779381,0.703071644,0.704251335,0.70405726,0.697844872
0.702906936,0.703205132,0.704416191,0.704200024,0.697871283
0.703038168,0.703343418,0.704571124,0.704363763,0.697890653
0.70318157,0.703477863,0.704723333,0.704517568,0.697915463
0.703334574,0.703621273,0.70489091,0.704666104,0.697929378
0.703481179,0.703730599,0.705053368,0.704828876,0.697944745
0.703610652,0.703838955,0.705211982,0.704989567,0.697964745
0.703751016,0.703999002,0.705379396,0.705162585,0.697992753
0.703890263,0.704151844,0.705545364,0.705323912,0.698033401
0.704035429,0.704298781,0.705678688,0.705489893,0.698081251
0.7041641,0.70443211,0.705827387,0.705643545,0.698080619
0.7042987,0.704569432,0.705976238,0.705778626,0.698081262
0.704419055,0.704677959,0.706149572,0.705915638,0.698116475
0.704529008,0.704816405,0.70630387,0.706079695,0.698171058
0.704644563,0.704925889,0.706437999,0.70622966,0.698180014
0.704785244,0.705040325,0.706595809,0.706381069,0.698197457
0.704913601,0.70511908,0.706749146,0.706529761,0.698243392
0.705036678,0.705235273,0.706913676,0.70668132,0.698256195
0.705162636,0.705359628,0.707042839,0.706824084,0.698312213
